text,font_size,font_name,is_bold,is_italic,x0,y0,x1,y1,page
Overview,24.0,"Arial,Bold",1,0,252.64999389648438,185.6600341796875,365.9539489746094,218.70802307128906,1
Foundation Level Extensions,24.0,"Arial,Bold",1,0,139.3459930419922,240.884033203125,479.3563537597656,273.9320373535156,1
Version 1.0,12.0,Arial,0,0,275.69000244140625,380.3900146484375,339.8179931640625,396.8780212402344,1
International Software Testing Qualifications Board,18.0,Arial,0,0,103.33999633789062,462.6399841308594,513.4158935546875,487.3719787597656,1
Copyright Notice,9.960000038146973,Arial,0,0,70.94400024414062,650.593017578125,147.68580627441406,664.2780151367188,1
"This document may be copied in its entirety, or extracts made, if the source is acknowledged.",9.960000038146973,Arial,0,0,70.94400024414062,662.11669921875,484.9912109375,675.8017578125,1
International,9.960000038146973,Arial,0,0,447.9100036621094,36.933013916015625,505.6795349121094,50.6180534362793,2
Overview,12.0,Arial,0,0,74.42400360107422,39.540000915527344,127.78800964355469,56.02800369262695,2
Software Testing,9.960000038146973,Arial,0,0,437.95001220703125,48.452972412109375,515.6878662109375,62.13801193237305,2
Foundation Level Extension –   Agile Tester,9.960000038146973,Arial,0,0,74.42400360107422,56.733001708984375,206.19927978515625,70.41804504394531,2
Qualifications,9.960000038146973,Arial,0,0,430.75,59.972991943359375,493.3984069824219,73.65803527832031,2
Board,9.960000038146973,Arial,0,0,493.54779052734375,59.972991943359375,522.8401489257812,73.65803527832031,2
Copyright © International Software Testing Qualifications Board (hereinafter called ISTQB®).,9.960000038146973,Arial,0,0,70.94400024414062,118.67300415039062,483.2471923828125,132.35804748535156,2
Version 2014,9.960000038146973,Trebuchet MS,0,0,76.58135986328125,718.6836547851562,136.51734924316406,730.24853515625,2
Page 2 of 12,9.960000038146973,Trebuchet MS,0,0,270.1639404296875,718.6836547851562,328.3648681640625,730.24853515625,2
"May 31, 2014",9.960000038146973,Trebuchet MS,0,0,471.5750732421875,718.6836547851562,533.134521484375,730.24853515625,2
© International Software Testing Qualifications Board,6.0,Arial,0,0,76.58399963378906,735.8699951171875,219.2940216064453,744.114013671875,2
Qualifications Board,9.960000038146973,Arial,0,0,430.75,59.972991943359375,522.8402099609375,73.65803527832031,3
International,9.960000038146973,Arial,0,0,447.9100036621094,36.933013916015625,505.6795349121094,50.6180534362793,3
Overview,12.0,Arial,0,0,74.42400360107422,39.540000915527344,127.78800964355469,56.02800369262695,3
Software Testing,9.960000038146973,Arial,0,0,437.95001220703125,48.452972412109375,515.6878662109375,62.13801193237305,3
Foundation Level Extension –   Agile Tester,9.960000038146973,Arial,0,0,74.42400360107422,56.733001708984375,206.19927978515625,70.41804504394531,3
Revision History,15.960000038146973,"Arial,Bold",1,0,70.94400024414062,106.30280303955078,201.52871704101562,128.27972412109375,3
Version,9.960000038146973,"Arial,Bold",1,0,74.42400360107422,137.80282592773438,113.74608612060547,151.5177459716797,3
Date,9.960000038146973,"Arial,Bold",1,0,146.4199981689453,137.80282592773438,170.7921142578125,151.5177459716797,3
Remarks,9.960000038146973,"Arial,Bold",1,0,278.69000244140625,137.80282592773438,323.5996398925781,151.5177459716797,3
0.1,9.960000038146973,Arial,0,0,74.42400360107422,150.11300659179688,91.1306381225586,163.7980499267578,3
18 JUNE 2013,9.960000038146973,Arial,0,0,146.4199981689453,150.11300659179688,214.10816955566406,163.7980499267578,3
Initial version,9.960000038146973,Arial,0,0,278.69000244140625,150.11300659179688,339.7647399902344,163.7980499267578,3
